relationship	relationship_opposite
Aunt/Uncle	Nephew/Niece
Aunt/Uncle/Aunt-in-law/Uncle-in-law	Nephew/Niece/Nephew-in-law/Niece-in-law
Child	Parent
Child/Child-in-law	Parent/Parent-in-law
Child/Nephew/Niece	Parent/Aunt/Uncle
Cousin	Cousin
First cousin once removed	First cousin once removed
Grandaunt/Granduncle	Grandnephew/Grandniece
Grandaunt/Granduncle/Grandaunt-in-law/Granduncle-in-law	Grandnephew/Grandniece/Grandnephew-in-law/Grandniece-in-law
Grandchild	Grandparent
Grandchild/Grandchild-in-law	Grandparent/Grandparent-in-law
Grandnephew/Grandniece	Grandaunt/Granduncle
Grandnephew/Grandniece/Grandnephew-in-law/Grandniece-in-law	Grandaunt/Granduncle/Grandaunt-in-law/Granduncle-in-law
Grandparent	Grandchild
Grandparent/Grandparent-in-law	Grandchild/Grandchild-in-law
Great-grandaunt/Great-granduncle	Great-grandnephew/Great-grandniece
Great-grandchild	Great-grandparent
Great-grandchild/Great-grandchild-in-law	Great-grandparent/Great-grandparent-in-law
Great-grandnephew/Great-grandniece	Great-grandaunt/Great-granduncle
Great-grandparent	Great-grandchild
Great-grandparent/Great-grandparent-in-law	Great-grandchild/Great-grandchild-in-law
Great-great-grandchild	Great-great-grandparent
Great-great-grandparent	Great-great-grandchild
Nephew/Niece	Aunt/Uncle
Nephew/Niece/Nephew-in-law/Niece-in-law	Aunt/Uncle/Aunt-in-law/Uncle-in-law
Parent	Child
Parent/Aunt/Uncle	Child/Nephew/Niece
Parent/Parent-in-law	Child/Child-in-law
Sibling	Sibling
Sibling/Cousin	Sibling/Cousin
Sibling/Sibling-in-law	Sibling/Sibling-in-law
Spouse	Spouse
Child-in-law	Parent-in-law
Parent-in-law	Child-in-law
